match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,StochasticBestGreedy_h2,128,3,18
2,StochasticBestGreedy_h2,125,6,32
3,StochasticBestGreedy_h2,109,6,32
4,StochasticBestGreedy_h2,129,5,21
5,StochasticBestGreedy_h2,111,8,52
6,StochasticBestGreedy_h2,137,4,12
7,StochasticBestGreedy_h2,129,4,14
8,StochasticBestGreedy_h2,91,5,23
9,StochasticBestGreedy_h2,133,5,20
10,StochasticBestGreedy_h2,127,5,28
11,StochasticBestGreedy_h2,107,6,27
12,StochasticBestGreedy_h2,123,5,20
13,StochasticBestGreedy_h2,117,3,9
14,StochasticBestGreedy_h2,127,5,26
15,StochasticBestGreedy_h2,135,3,11
16,StochasticBestGreedy_h2,143,2,5
17,StochasticBestGreedy_h2,129,5,18
18,StochasticBestGreedy_h2,115,4,15
19,StochasticBestGreedy_h2,101,8,39
20,StochasticBestGreedy_h2,109,8,40
21,StochasticBestGreedy_h2,125,4,16
22,StochasticBestGreedy_h2,125,5,21
23,StochasticBestGreedy_h2,113,4,16
24,StochasticBestGreedy_h2,117,6,20
25,StochasticBestGreedy_h2,105,5,21
26,StochasticBestGreedy_h2,141,3,14
27,StochasticBestGreedy_h2,73,5,40
28,StochasticBestGreedy_h2,113,5,28
29,StochasticBestGreedy_h2,119,4,22
30,StochasticBestGreedy_h2,143,4,16
31,StochasticBestGreedy_h2,129,7,28
32,StochasticBestGreedy_h2,93,8,52
33,StochasticBestGreedy_h2,123,6,23
34,StochasticBestGreedy_h2,127,3,19
35,StochasticBestGreedy_h2,107,5,18
36,StochasticBestGreedy_h2,129,3,16
37,StochasticBestGreedy_h2,129,4,17
38,StochasticBestGreedy_h2,121,6,38
39,StochasticBestGreedy_h2,111,5,22
40,StochasticBestGreedy_h2,127,4,20
41,StochasticBestGreedy_h2,111,4,19
42,StochasticBestGreedy_h2,127,6,22
43,StochasticBestGreedy_h2,135,5,10
44,StochasticBestGreedy_h2,127,5,16
45,StochasticBestGreedy_h2,123,8,42
46,StochasticBestGreedy_h2,119,4,14
47,StochasticBestGreedy_h2,131,4,8
48,StochasticBestGreedy_h2,123,5,24
49,StochasticBestGreedy_h2,137,4,13
50,StochasticBestGreedy_h2,129,2,6
51,StochasticBestGreedy_h2,125,3,8
52,StochasticBestGreedy_h2,138,3,17
53,StochasticBestGreedy_h2,114,7,39
54,StochasticBestGreedy_h2,136,3,20
55,StochasticBestGreedy_h2,110,3,15
56,StochasticBestGreedy_h2,112,5,28
57,StochasticBestGreedy_h2,132,4,17
58,StochasticBestGreedy_h2,116,5,19
59,StochasticBestGreedy_h2,138,2,5
60,StochasticBestGreedy_h2,113,6,34
61,StochasticBestGreedy_h2,138,3,21
62,StochasticBestGreedy_h2,132,5,33
63,StochasticBestGreedy_h2,84,7,62
64,StochasticBestGreedy_h2,140,4,32
65,StochasticBestGreedy_h2,130,3,22
66,StochasticBestGreedy_h2,124,5,35
67,StochasticBestGreedy_h2,138,5,26
68,StochasticBestGreedy_h2,122,6,37
69,StochasticBestGreedy_h2,116,3,14
70,StochasticBestGreedy_h2,124,3,21
71,StochasticBestGreedy_h2,122,5,27
72,StochasticBestGreedy_h2,128,6,26
73,StochasticBestGreedy_h2,124,5,22
74,StochasticBestGreedy_h2,106,6,44
75,StochasticBestGreedy_h2,112,5,24
76,StochasticBestGreedy_h2,128,4,19
77,StochasticBestGreedy_h2,126,4,28
78,StochasticBestGreedy_h2,122,4,20
79,StochasticBestGreedy_h2,116,5,29
80,StochasticBestGreedy_h2,124,3,17
81,StochasticBestGreedy_h2,126,3,15
82,StochasticBestGreedy_h2,126,4,23
83,StochasticBestGreedy_h2,126,2,9
84,StochasticBestGreedy_h2,148,2,12
85,StochasticBestGreedy_h2,110,4,17
86,StochasticBestGreedy_h2,124,3,21
87,StochasticBestGreedy_h2,118,7,38
88,StochasticBestGreedy_h2,104,5,32
89,StochasticBestGreedy_h2,154,2,7
90,StochasticBestGreedy_h2,110,7,31
91,StochasticBestGreedy_h2,122,4,27
92,StochasticBestGreedy_h2,120,5,19
93,StochasticBestGreedy_h2,108,5,23
94,StochasticBestGreedy_h2,150,2,11
95,StochasticBestGreedy_h2,134,5,32
96,StochasticBestGreedy_h2,114,3,24
97,StochasticBestGreedy_h2,106,7,30
98,StochasticBestGreedy_h2,126,3,11
99,StochasticBestGreedy_h2,122,6,25
100,StochasticBestGreedy_h2,160,3,13
101,StochasticBestGreedy_h2,146,2,9
