match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,LookAhead_h1,84,5,26
2,LookAhead_h1,103,4,19
3,LookAhead_h1,115,4,17
4,LookAhead_h1,97,5,21
5,LookAhead_h1,99,7,30
6,LookAhead_h1,89,6,38
7,-,~,-
8,LookAhead_h1,131,3,14
9,LookAhead_h1,101,6,37
10,LookAhead_h1,107,7,35
11,LookAhead_h1,93,5,33
12,LookAhead_h1,95,5,31
13,LookAhead_h1,93,8,39
14,LookAhead_h1,123,4,9
15,LookAhead_h1,83,6,25
16,LookAhead_h1,111,4,24
17,LookAhead_h1,79,8,46
18,LookAhead_h1,91,5,27
19,LookAhead_h1,89,8,46
20,LookAhead_h1,113,6,34
21,LookAhead_h1,107,6,24
22,LookAhead_h1,83,7,29
23,LookAhead_h1,111,4,23
24,LookAhead_h1,91,6,34
25,LookAhead_h1,107,5,24
26,LookAhead_h1,81,9,50
27,LookAhead_h1,107,5,23
28,LookAhead_h1,95,5,29
29,LookAhead_h1,95,7,35
30,LookAhead_h1,119,6,23
31,LookAhead_h1,113,4,14
32,LookAhead_h1,129,6,34
33,LookAhead_h1,93,7,23
34,LookAhead_h1,127,3,12
35,LookAhead_h1,95,4,21
36,LookAhead_h1,91,5,25
37,LookAhead_h1,85,6,38
38,LookAhead_h1,97,5,28
39,LookAhead_h1,87,6,29
40,LookAhead_h1,121,4,13
41,LookAhead_h1,95,4,14
42,LookAhead_h1,101,7,37
43,LookAhead_h1,99,6,36
44,LookAhead_h1,89,7,29
45,LookAhead_h1,97,5,29
46,LookAhead_h1,89,6,31
47,LookAhead_h1,91,5,31
48,LookAhead_h1,103,4,21
49,LookAhead_h1,93,6,30
50,-,~,-
51,LookAhead_h1,77,6,39
52,LookAhead_h1,83,8,38
53,LookAhead_h1,97,5,28
54,LookAhead_h1,107,6,23
55,LookAhead_h1,119,4,13
56,LookAhead_h1,119,5,33
57,LookAhead_h1,123,4,15
58,LookAhead_h1,97,4,21
59,LookAhead_h1,87,8,43
60,LookAhead_h1,105,4,27
61,LookAhead_h1,89,6,30
62,-,~,-
63,LookAhead_h1,97,5,26
64,LookAhead_h1,105,4,19
65,LookAhead_h1,105,7,31
66,LookAhead_h1,99,6,31
67,LookAhead_h1,99,6,26
68,LookAhead_h1,113,7,32
69,LookAhead_h1,123,5,16
70,LookAhead_h1,107,6,27
71,LookAhead_h1,101,6,23
72,LookAhead_h1,97,5,22
73,-,~,-
74,LookAhead_h1,89,5,26
75,LookAhead_h1,105,5,18
76,LookAhead_h1,89,4,30
77,LookAhead_h1,93,5,25
78,LookAhead_h1,99,4,16
79,LookAhead_h1,91,6,34
80,LookAhead_h1,121,5,11
81,LookAhead_h1,95,6,31
82,LookAhead_h1,89,7,39
83,LookAhead_h1,111,5,26
84,-,~,-
85,-,~,-
86,LookAhead_h1,99,7,30
87,LookAhead_h1,85,4,22
88,LookAhead_h1,93,7,38
89,LookAhead_h1,107,5,25
90,LookAhead_h1,95,6,31
91,LookAhead_h1,111,4,10
92,LookAhead_h1,101,6,24
93,LookAhead_h1,99,5,28
94,LookAhead_h1,109,4,27
95,LookAhead_h1,105,4,22
96,LookAhead_h1,121,5,23
97,LookAhead_h1,99,5,28
98,LookAhead_h1,105,5,22
99,LookAhead_h1,143,4,18
100,LookAhead_h1,107,6,26
