match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,-,~,-
2,LookAhead_h2,93,7,44
3,-,~,-
4,-,~,-
5,LookAhead_h2,113,6,31
6,LookAhead_h2,105,6,23
7,LookAhead_h2,103,6,27
8,LookAhead_h2,101,7,31
9,-,~,-
10,-,~,-
11,LookAhead_h2,99,6,36
12,LookAhead_h2,99,9,39
13,LookAhead_h2,103,5,25
14,LookAhead_h2,105,7,32
15,LookAhead_h2,97,3,17
16,LookAhead_h2,79,5,18
17,LookAhead_h2,71,8,48
18,LookAhead_h2,105,7,34
19,-,~,-
20,LookAhead_h2,111,3,11
21,LookAhead_h2,111,6,37
22,LookAhead_h2,93,7,38
23,-,~,-
24,LookAhead_h2,103,6,22
25,LookAhead_h2,93,7,28
26,LookAhead_h2,87,7,31
27,LookAhead_h2,109,5,31
28,-,~,-
29,LookAhead_h2,107,5,21
30,LookAhead_h2,109,7,42
31,LookAhead_h2,99,7,30
32,-,~,-
33,-,~,-
34,-,~,-
35,LookAhead_h2,101,6,25
36,LookAhead_h2,99,6,30
37,-,~,-
38,LookAhead_h2,103,4,25
39,LookAhead_h2,105,10,48
40,LookAhead_h2,91,6,32
41,LookAhead_h2,143,3,18
42,LookAhead_h2,121,7,31
43,LookAhead_h2,103,6,28
44,-,~,-
45,LookAhead_h2,87,7,35
46,LookAhead_h2,93,5,34
47,LookAhead_h2,85,5,27
48,LookAhead_h2,93,6,35
49,LookAhead_h2,71,5,28
50,LookAhead_h2,105,6,29
51,LookAhead_h2,83,7,26
52,LookAhead_h2,115,5,29
53,LookAhead_h2,87,8,50
54,LookAhead_h2,93,6,31
55,LookAhead_h2,91,6,37
56,LookAhead_h2,107,5,23
57,LookAhead_h2,111,6,31
58,LookAhead_h2,79,7,45
59,LookAhead_h2,121,5,17
60,LookAhead_h2,103,5,16
61,LookAhead_h2,103,5,24
62,LookAhead_h2,93,4,24
63,LookAhead_h2,95,6,37
64,LookAhead_h2,95,4,20
65,LookAhead_h2,83,7,44
66,-,~,-
67,LookAhead_h2,103,7,33
68,LookAhead_h2,95,5,27
69,-,~,-
70,LookAhead_h2,85,6,38
71,LookAhead_h2,73,9,45
72,LookAhead_h2,95,8,39
73,LookAhead_h2,97,4,21
74,LookAhead_h2,87,5,17
75,LookAhead_h2,105,6,32
76,-,~,-
77,LookAhead_h2,107,4,15
78,LookAhead_h2,89,5,26
79,LookAhead_h2,85,8,31
80,LookAhead_h2,125,4,17
81,LookAhead_h2,103,7,29
82,LookAhead_h2,117,4,21
83,LookAhead_h2,89,6,30
84,LookAhead_h2,75,6,36
85,LookAhead_h2,89,5,24
86,LookAhead_h2,87,9,47
87,-,~,-
88,LookAhead_h2,101,6,29
89,LookAhead_h2,107,6,31
90,LookAhead_h2,107,6,29
91,LookAhead_h2,107,5,25
92,LookAhead_h2,99,6,29
93,LookAhead_h2,89,4,18
94,LookAhead_h2,107,6,30
95,LookAhead_h2,81,6,41
96,LookAhead_h2,69,7,40
97,LookAhead_h2,105,7,43
98,LookAhead_h2,101,5,33
99,LookAhead_h2,101,5,29
100,LookAhead_h2,99,8,49
