match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,LookAhead_h1,116,1,5
2,LookAhead_h1,103,1,1
3,LookAhead_h1,91,2,8
4,LookAhead_h1,109,2,11
5,LookAhead_h1,99,1,1
6,LookAhead_h1,117,2,6
7,LookAhead_h1,85,2,10
8,LookAhead_h1,111,4,14
9,LookAhead_h1,77,4,28
10,LookAhead_h1,95,3,12
11,LookAhead_h1,73,4,29
12,AStarAI_h2,100,2,4
13,LookAhead_h1,119,3,13
14,LookAhead_h1,105,4,15
15,LookAhead_h1,105,4,13
16,LookAhead_h1,91,1,3
17,LookAhead_h1,107,2,9
18,LookAhead_h1,93,3,15
19,LookAhead_h1,119,1,3
20,LookAhead_h1,101,3,11
21,LookAhead_h1,99,2,8
22,AStarAI_h2,92,2,4
23,LookAhead_h1,107,5,24
24,AStarAI_h2,84,3,8
25,LookAhead_h1,103,2,7
26,LookAhead_h1,109,3,14
27,LookAhead_h1,97,3,18
28,LookAhead_h1,93,6,22
29,LookAhead_h1,95,5,21
30,LookAhead_h1,93,6,24
31,LookAhead_h1,93,4,12
32,LookAhead_h1,121,1,1
33,LookAhead_h1,117,1,5
34,AStarAI_h2,110,1,3
35,LookAhead_h1,97,4,17
36,LookAhead_h1,99,4,15
37,LookAhead_h1,117,1,5
38,LookAhead_h1,95,2,8
39,LookAhead_h1,105,1,5
40,LookAhead_h1,105,5,14
41,LookAhead_h1,83,5,24
42,LookAhead_h1,105,4,16
43,LookAhead_h1,95,2,8
44,LookAhead_h1,99,4,13
45,LookAhead_h1,97,4,21
46,LookAhead_h1,93,1,1
47,LookAhead_h1,91,5,28
48,LookAhead_h1,103,5,18
49,LookAhead_h1,85,4,12
50,LookAhead_h1,91,3,23
51,LookAhead_h1,113,4,13
52,LookAhead_h1,109,2,9
53,LookAhead_h1,111,2,5
54,LookAhead_h1,101,2,8
55,LookAhead_h1,105,4,19
56,LookAhead_h1,105,1,9
57,LookAhead_h1,107,2,6
58,AStarAI_h2,126,1,3
59,AStarAI_h2,108,2,4
60,LookAhead_h1,105,1,3
61,AStarAI_h2,108,1,3
62,LookAhead_h1,87,6,19
63,LookAhead_h1,95,4,20
64,LookAhead_h1,105,2,5
65,LookAhead_h1,105,1,5
66,LookAhead_h1,111,2,9
67,LookAhead_h1,91,2,11
68,LookAhead_h1,93,3,5
69,LookAhead_h1,95,5,18
70,LookAhead_h1,91,4,10
71,LookAhead_h1,103,4,17
72,LookAhead_h1,103,3,9
73,LookAhead_h1,105,1,9
74,LookAhead_h1,105,2,6
75,LookAhead_h1,93,6,24
76,LookAhead_h1,83,6,23
77,LookAhead_h1,111,3,14
78,LookAhead_h1,93,2,8
79,LookAhead_h1,105,4,11
80,LookAhead_h1,103,5,28
81,LookAhead_h1,83,4,23
82,LookAhead_h1,115,4,14
83,LookAhead_h1,87,3,15
84,LookAhead_h1,103,1,5
85,LookAhead_h1,91,7,32
86,LookAhead_h1,103,2,7
87,LookAhead_h1,113,5,15
88,LookAhead_h1,97,5,19
89,LookAhead_h1,99,4,19
90,LookAhead_h1,123,3,8
91,AStarAI_h2,110,2,4
92,LookAhead_h1,107,2,8
93,LookAhead_h1,97,2,13
94,LookAhead_h1,115,1,1
95,LookAhead_h1,113,1,7
96,LookAhead_h1,99,3,11
97,LookAhead_h1,97,4,15
98,LookAhead_h1,123,3,10
99,LookAhead_h1,109,3,11
100,LookAhead_h1,91,2,7
