match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,-,~,-
2,-,~,-
3,LookAhead_h1,187,5,22
4,-,~,-
5,-,~,-
6,-,~,-
7,LookAhead_h1,115,5,21
8,-,~,-
9,-,~,-
10,-,~,-
11,-,~,-
12,-,~,-
13,-,~,-
14,-,~,-
15,-,~,-
16,-,~,-
17,-,~,-
18,-,~,-
19,LookAhead_h1,87,4,13
20,-,~,-
21,-,~,-
22,-,~,-
23,-,~,-
24,-,~,-
25,-,~,-
26,-,~,-
27,-,~,-
28,-,~,-
29,-,~,-
30,-,~,-
31,-,~,-
32,-,~,-
33,-,~,-
34,-,~,-
35,-,~,-
36,-,~,-
37,-,~,-
38,-,~,-
39,-,~,-
40,-,~,-
41,-,~,-
42,-,~,-
43,LookAhead_h1,163,3,13
44,-,~,-
45,-,~,-
46,-,~,-
47,-,~,-
48,-,~,-
49,LookAhead_h1,237,3,12
50,-,~,-
51,-,~,-
52,-,~,-
53,-,~,-
54,-,~,-
55,-,~,-
56,-,~,-
57,-,~,-
58,-,~,-
59,-,~,-
60,-,~,-
61,-,~,-
62,-,~,-
63,-,~,-
64,LookAhead_h1,143,3,18
65,-,~,-
66,-,~,-
67,-,~,-
68,-,~,-
69,LookAhead_h1,85,6,28
70,-,~,-
71,-,~,-
72,-,~,-
73,-,~,-
74,LookAhead_h1,83,5,28
75,-,~,-
76,-,~,-
77,-,~,-
78,-,~,-
79,-,~,-
80,-,~,-
81,-,~,-
82,-,~,-
83,-,~,-
84,-,~,-
85,-,~,-
86,-,~,-
87,-,~,-
88,-,~,-
89,-,~,-
90,-,~,-
91,-,~,-
92,-,~,-
93,-,~,-
94,-,~,-
95,-,~,-
96,-,~,-
97,-,~,-
98,-,~,-
99,-,~,-
100,-,~,-
