match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,LookAhead_h1,98,7,35
2,LookAhead_h1,87,4,23
3,LookAhead_h1,110,3,18
4,LookAhead_h1,107,4,15
5,LookAhead_h1,83,6,42
6,LookAhead_h1,79,8,57
7,LookAhead_h1,95,7,46
8,LookAhead_h1,113,5,30
9,LookAhead_h1,77,8,46
10,LookAhead_h1,109,4,25
11,LookAhead_h1,91,5,24
12,LookAhead_h1,91,5,17
13,LookAhead_h1,127,5,17
14,LookAhead_h1,93,5,33
15,LookAhead_h1,85,7,39
16,LookAhead_h1,79,8,32
17,LookAhead_h1,81,6,26
18,LookAhead_h1,97,6,35
19,LookAhead_h1,95,4,18
20,LookAhead_h1,81,7,45
21,LookAhead_h1,95,7,36
22,LookAhead_h1,81,9,46
23,LookAhead_h1,81,5,17
24,LookAhead_h1,103,5,29
25,LookAhead_h1,105,4,23
26,LookAhead_h1,85,8,49
27,LookAhead_h1,95,6,33
28,LookAhead_h1,95,6,41
29,LookAhead_h1,87,7,37
30,LookAhead_h1,101,5,29
31,LookAhead_h1,93,5,25
32,LookAhead_h1,69,6,46
33,LookAhead_h1,65,8,45
34,LookAhead_h1,93,8,40
35,LookAhead_h1,115,3,11
36,LookAhead_h1,121,4,21
37,LookAhead_h1,105,5,21
38,LookAhead_h1,95,5,29
39,LookAhead_h1,105,4,29
40,LookAhead_h1,105,5,30
41,LookAhead_h1,65,8,62
42,LookAhead_h1,111,5,19
43,LookAhead_h1,119,5,20
44,LookAhead_h1,101,7,26
45,LookAhead_h1,105,5,29
46,LookAhead_h1,95,6,39
47,LookAhead_h1,105,4,20
48,LookAhead_h1,85,6,43
49,LookAhead_h1,95,6,30
50,LookAhead_h1,103,3,17
51,LookAhead_h1,89,8,36
52,LookAhead_h1,82,7,37
53,LookAhead_h1,44,8,69
54,LookAhead_h1,100,4,25
55,LookAhead_h1,106,4,24
56,LookAhead_h1,84,5,37
57,LookAhead_h1,102,7,42
58,LookAhead_h1,90,7,48
59,LookAhead_h1,104,5,33
60,LookAhead_h1,92,5,24
61,LookAhead_h1,94,4,26
62,LookAhead_h1,92,5,29
63,LookAhead_h1,74,7,39
64,LookAhead_h1,116,3,9
65,LookAhead_h1,98,6,27
66,LookAhead_h1,94,5,25
67,LookAhead_h1,114,5,26
68,LookAhead_h1,98,6,27
69,LookAhead_h1,98,4,24
70,LookAhead_h1,116,4,31
71,LookAhead_h1,112,5,27
72,LookAhead_h1,108,3,19
73,LookAhead_h1,96,7,27
74,LookAhead_h1,98,6,26
75,LookAhead_h1,108,5,23
76,LookAhead_h1,96,4,19
77,LookAhead_h1,96,4,22
78,LookAhead_h1,78,7,42
79,LookAhead_h1,108,4,25
80,LookAhead_h1,88,7,42
81,LookAhead_h1,104,4,21
82,LookAhead_h1,66,10,57
83,LookAhead_h1,114,6,21
84,LookAhead_h1,70,5,50
85,LookAhead_h1,106,5,35
86,LookAhead_h1,72,5,29
87,LookAhead_h1,92,7,45
88,LookAhead_h1,98,7,44
89,LookAhead_h1,92,5,28
90,LookAhead_h1,100,4,16
91,LookAhead_h1,104,5,27
92,LookAhead_h1,86,8,53
93,LookAhead_h1,98,5,21
94,LookAhead_h1,118,3,13
95,LookAhead_h1,102,5,19
96,LookAhead_h1,98,4,21
97,LookAhead_h1,98,5,24
98,LookAhead_h1,80,5,24
99,LookAhead_h1,114,6,27
100,LookAhead_h1,80,7,44
101,LookAhead_h1,102,4,20
