match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MiniMax_h1,92,5,36
2,MiniMax_h1,79,7,57
3,MiniMax_h1,81,6,51
4,MiniMax_h1,75,7,29
5,MiniMax_h1,59,8,61
6,MiniMax_h1,73,7,53
7,MiniMax_h1,85,7,46
8,MiniMax_h1,91,4,40
9,MiniMax_h1,95,5,36
10,MiniMax_h1,93,6,23
11,MiniMax_h1,85,5,37
12,MiniMax_h1,79,5,35
13,MiniMax_h1,75,7,53
14,MiniMax_h1,89,4,41
15,MiniMax_h1,83,6,44
16,MiniMax_h1,97,6,38
17,MiniMax_h1,81,5,37
18,MiniMax_h1,69,7,52
19,MiniMax_h1,89,4,49
20,MiniMax_h1,77,6,66
21,MiniMax_h1,67,6,55
22,MiniMax_h1,77,8,61
23,MiniMax_h1,95,5,21
24,MiniMax_h1,105,6,27
25,MiniMax_h1,87,5,22
26,MiniMax_h1,75,6,43
27,MiniMax_h1,83,5,42
28,MiniMax_h1,83,6,34
29,MiniMax_h1,85,6,32
30,MiniMax_h1,73,8,45
31,MiniMax_h1,91,6,34
32,MiniMax_h1,93,3,20
33,MiniMax_h1,81,6,23
34,MiniMax_h1,83,6,19
35,MiniMax_h1,89,4,27
36,MiniMax_h1,97,6,52
37,MiniMax_h1,101,4,28
38,MiniMax_h1,89,4,27
39,MiniMax_h1,81,7,45
40,MiniMax_h1,95,4,29
41,MiniMax_h1,89,4,34
42,MiniMax_h1,103,5,16
43,MiniMax_h1,85,8,64
44,MiniMax_h1,77,6,46
45,MiniMax_h1,93,6,43
46,MiniMax_h1,89,6,32
47,MiniMax_h1,89,5,29
48,MiniMax_h1,89,5,35
49,MiniMax_h1,63,8,72
50,MiniMax_h1,99,7,43
51,MiniMax_h1,65,6,63
52,StochasticBestGreedy_h1,109,1,3
53,MiniMax_h1,90,4,15
54,MiniMax_h1,96,2,15
55,MiniMax_h1,88,2,12
56,MiniMax_h1,86,3,17
57,MiniMax_h1,80,3,17
58,MiniMax_h1,102,2,10
59,StochasticBestGreedy_h1,113,2,4
60,MiniMax_h1,102,2,7
61,MiniMax_h1,84,4,19
62,MiniMax_h1,104,1,3
63,MiniMax_h1,104,1,3
64,MiniMax_h1,108,2,4
65,MiniMax_h1,98,2,4
66,MiniMax_h1,98,4,14
67,MiniMax_h1,88,5,23
68,MiniMax_h1,80,5,23
69,MiniMax_h1,76,4,25
70,MiniMax_h1,116,1,1
71,MiniMax_h1,102,2,5
72,MiniMax_h1,90,5,35
73,MiniMax_h1,104,1,5
74,MiniMax_h1,74,6,31
75,MiniMax_h1,90,2,10
76,MiniMax_h1,84,3,13
77,MiniMax_h1,96,3,12
78,StochasticBestGreedy_h1,89,2,4
79,MiniMax_h1,100,4,20
80,MiniMax_h1,98,2,11
81,MiniMax_h1,100,2,8
82,MiniMax_h1,64,5,35
83,MiniMax_h1,90,6,26
84,MiniMax_h1,98,3,14
85,MiniMax_h1,96,3,12
86,MiniMax_h1,90,3,6
87,MiniMax_h1,68,6,27
88,MiniMax_h1,84,4,24
89,MiniMax_h1,100,2,12
90,MiniMax_h1,84,3,6
91,MiniMax_h1,98,2,8
92,MiniMax_h1,92,3,13
93,MiniMax_h1,84,2,7
94,MiniMax_h1,82,5,29
95,MiniMax_h1,92,3,16
96,MiniMax_h1,78,2,14
97,MiniMax_h1,92,2,9
98,MiniMax_h1,88,2,11
99,MiniMax_h1,84,5,28
100,MiniMax_h1,86,2,4
101,MiniMax_h1,94,2,8
