match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,LookAhead_h2,106,2,11
2,LookAhead_h2,125,3,12
3,LookAhead_h2,93,5,23
4,LookAhead_h2,79,5,24
5,LookAhead_h2,105,2,8
6,-,~,-
7,-,~,-
8,LookAhead_h2,91,2,13
9,LookAhead_h2,101,1,7
10,LookAhead_h2,83,5,23
11,LookAhead_h2,101,3,12
12,LookAhead_h2,83,5,23
13,AStarAI_h2,126,2,7
14,LookAhead_h2,91,2,12
15,LookAhead_h2,107,2,9
16,LookAhead_h2,111,4,13
17,LookAhead_h2,99,4,15
18,LookAhead_h2,87,6,25
19,LookAhead_h2,95,5,15
20,LookAhead_h2,101,3,17
21,-,~,-
22,LookAhead_h2,93,2,6
23,LookAhead_h2,93,5,19
24,LookAhead_h2,81,1,3
25,LookAhead_h2,95,4,18
26,LookAhead_h2,99,3,11
27,LookAhead_h2,87,6,25
28,LookAhead_h2,101,2,13
29,AStarAI_h2,124,1,5
30,LookAhead_h2,97,3,15
31,LookAhead_h2,115,2,9
32,LookAhead_h2,101,4,18
33,LookAhead_h2,103,2,8
34,LookAhead_h2,99,5,19
35,LookAhead_h2,85,5,22
36,LookAhead_h2,109,2,13
37,LookAhead_h2,97,4,17
38,LookAhead_h2,91,4,11
39,LookAhead_h2,83,5,21
40,LookAhead_h2,93,4,22
41,LookAhead_h2,107,3,14
42,LookAhead_h2,87,3,16
43,LookAhead_h2,83,2,12
44,LookAhead_h2,99,6,21
45,LookAhead_h2,83,4,25
46,LookAhead_h2,115,3,12
47,LookAhead_h2,105,4,19
48,LookAhead_h2,101,3,9
49,-,~,-
50,-,~,-
51,LookAhead_h2,101,2,5
52,LookAhead_h2,107,3,4
53,AStarAI_h2,84,1,6
54,LookAhead_h2,101,4,13
55,LookAhead_h2,97,4,14
56,LookAhead_h2,93,6,18
57,LookAhead_h2,103,4,18
58,-,~,-
59,LookAhead_h2,119,1,1
60,LookAhead_h2,111,2,12
61,LookAhead_h2,95,3,12
62,LookAhead_h2,103,4,14
63,LookAhead_h2,85,4,13
64,LookAhead_h2,89,3,11
65,LookAhead_h2,77,6,20
66,LookAhead_h2,85,7,28
67,LookAhead_h2,101,3,11
68,LookAhead_h2,81,4,25
69,LookAhead_h2,93,3,13
70,LookAhead_h2,105,4,19
71,LookAhead_h2,87,7,30
72,LookAhead_h2,91,4,25
73,LookAhead_h2,113,3,11
74,-,~,-
75,LookAhead_h2,99,3,4
76,LookAhead_h2,91,2,11
77,LookAhead_h2,109,2,10
78,LookAhead_h2,87,4,18
79,LookAhead_h2,107,1,8
80,LookAhead_h2,107,3,13
81,LookAhead_h2,107,2,6
82,LookAhead_h2,115,3,5
83,LookAhead_h2,105,4,18
84,LookAhead_h2,75,7,23
85,LookAhead_h2,101,4,17
86,LookAhead_h2,105,2,14
87,LookAhead_h2,109,4,18
88,LookAhead_h2,103,1,8
89,-,~,-
90,-,~,-
91,-,~,-
92,LookAhead_h2,93,5,23
93,LookAhead_h2,101,3,8
94,-,~,-
95,LookAhead_h2,95,3,17
96,LookAhead_h2,95,4,18
97,LookAhead_h2,91,3,13
98,-,~,-
99,LookAhead_h2,117,3,16
100,LookAhead_h2,97,2,9
