match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,LookAhead_h2,89,2,8
2,LookAhead_h2,102,1,3
3,MiniMax_h1,72,4,17
4,LookAhead_h2,62,4,7
5,LookAhead_h2,84,2,7
6,LookAhead_h2,80,2,5
7,MiniMax_h1,83,2,6
8,LookAhead_h2,90,1,3
9,LookAhead_h2,80,1,5
10,LookAhead_h2,86,2,7
11,LookAhead_h2,90,1,1
12,LookAhead_h2,66,3,12
13,MiniMax_h1,79,2,9
14,LookAhead_h2,88,2,4
15,MiniMax_h1,80,3,22
16,LookAhead_h2,76,2,11
17,LookAhead_h2,70,2,8
18,MiniMax_h1,85,2,4
19,LookAhead_h2,76,2,5
20,LookAhead_h2,102,1,1
21,MiniMax_h1,81,3,15
22,LookAhead_h2,68,3,14
23,LookAhead_h2,94,2,6
24,LookAhead_h2,96,1,3
25,MiniMax_h1,109,2,10
26,LookAhead_h2,76,3,10
27,MiniMax_h1,83,3,14
28,LookAhead_h2,65,4,21
29,LookAhead_h2,80,2,4
30,LookAhead_h2,78,1,1
31,LookAhead_h2,96,3,6
32,LookAhead_h2,94,2,4
33,MiniMax_h1,69,4,14
34,MiniMax_h1,95,1,1
35,MiniMax_h1,109,3,6
36,LookAhead_h2,92,2,6
37,MiniMax_h1,81,2,8
38,MiniMax_h1,65,5,16
39,LookAhead_h2,84,2,8
40,LookAhead_h2,102,2,4
41,LookAhead_h2,70,2,13
42,LookAhead_h2,88,2,4
43,MiniMax_h1,89,2,12
44,MiniMax_h1,77,4,16
45,LookAhead_h2,80,2,6
46,LookAhead_h2,68,3,11
47,MiniMax_h1,85,2,15
48,MiniMax_h1,73,2,7
49,LookAhead_h2,80,3,16
50,LookAhead_h2,92,2,4
51,MiniMax_h1,93,1,5
52,LookAhead_h2,87,1,3
53,MiniMax_h1,84,5,14
54,MiniMax_h1,76,1,9
55,MiniMax_h1,114,1,2
56,LookAhead_h2,83,3,10
57,MiniMax_h1,84,1,1
58,LookAhead_h2,69,1,1
59,LookAhead_h2,75,1,1
60,LookAhead_h2,89,2,8
61,MiniMax_h1,72,2,15
62,LookAhead_h2,97,2,4
63,MiniMax_h1,84,4,17
64,LookAhead_h2,91,2,4
65,LookAhead_h2,87,2,8
66,LookAhead_h2,83,2,2
67,MiniMax_h1,69,2,16
68,LookAhead_h2,89,1,12
69,LookAhead_h2,101,1,12
70,LookAhead_h2,87,1,3
71,LookAhead_h2,99,1,1
72,LookAhead_h2,101,2,8
73,LookAhead_h2,81,3,17
74,LookAhead_h2,81,1,3
75,MiniMax_h1,94,1,3
76,LookAhead_h2,99,2,4
77,MiniMax_h1,76,1,1
78,LookAhead_h2,70,2,22
79,MiniMax_h1,76,3,9
80,LookAhead_h2,89,1,1
81,LookAhead_h2,55,3,11
82,LookAhead_h2,85,3,10
83,LookAhead_h2,81,3,10
84,LookAhead_h2,87,2,4
85,MiniMax_h1,84,1,9
86,MiniMax_h1,58,4,19
87,LookAhead_h2,85,1,1
88,MiniMax_h1,62,3,14
89,MiniMax_h1,55,4,26
90,LookAhead_h2,63,3,18
91,MiniMax_h1,92,1,1
92,LookAhead_h2,75,3,8
93,LookAhead_h2,63,3,12
94,LookAhead_h2,75,2,7
95,MiniMax_h1,66,4,10
96,LookAhead_h2,69,2,4
97,LookAhead_h2,93,1,3
98,LookAhead_h2,79,1,2
99,MiniMax_h1,90,1,1
100,LookAhead_h2,69,2,10
101,LookAhead_h2,79,1,3
