match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MiniMax_h2,87,1,6
2,MiniMax_h1_h2,87,1,5
3,MiniMax_h1_h2,95,1,1
4,MiniMax_h1_h2,95,1,1
5,MiniMax_h2,78,2,4
6,MiniMax_h1_h2,93,2,6
7,MiniMax_h2,88,1,5
8,MiniMax_h1_h2,99,1,1
9,MiniMax_h1_h2,87,2,13
10,MiniMax_h1_h2,81,1,7
11,MiniMax_h1_h2,93,1,1
12,MiniMax_h2,86,2,5
13,MiniMax_h2,88,3,10
14,MiniMax_h2,102,2,6
15,MiniMax_h2,78,1,2
16,MiniMax_h2,86,1,8
17,MiniMax_h2,68,2,4
18,MiniMax_h1_h2,65,3,18
19,MiniMax_h2,78,1,7
20,MiniMax_h2,75,2,14
21,MiniMax_h1_h2,65,2,8
22,MiniMax_h2,80,1,4
23,MiniMax_h1_h2,75,1,1
24,MiniMax_h1_h2,83,2,9
25,MiniMax_h1_h2,85,2,9
26,MiniMax_h1_h2,85,3,16
27,MiniMax_h2,76,3,16
28,MiniMax_h2,96,3,10
29,MiniMax_h2,94,2,9
30,MiniMax_h1_h2,87,2,8
31,MiniMax_h2,78,2,8
32,MiniMax_h2,90,1,1
33,MiniMax_h2,66,4,15
34,MiniMax_h2,94,3,15
35,MiniMax_h2,80,1,4
36,MiniMax_h2,88,3,11
37,MiniMax_h1_h2,79,1,4
38,MiniMax_h1_h2,69,3,14
39,MiniMax_h1_h2,89,1,4
40,MiniMax_h1_h2,75,4,17
41,MiniMax_h1_h2,91,3,10
42,MiniMax_h1_h2,91,1,8
43,MiniMax_h2,96,1,3
44,MiniMax_h1_h2,59,4,24
45,MiniMax_h2,78,3,14
46,MiniMax_h2,92,2,7
47,MiniMax_h2,96,2,7
48,MiniMax_h1_h2,81,3,5
49,MiniMax_h1_h2,101,1,4
50,MiniMax_h1_h2,105,1,1
51,MiniMax_h2,106,1,5
52,MiniMax_h1_h2,92,1,4
53,MiniMax_h2,89,2,7
54,MiniMax_h1_h2,82,1,4
55,MiniMax_h1_h2,80,3,11
56,MiniMax_h2,97,3,6
57,MiniMax_h1_h2,98,3,10
58,MiniMax_h2,87,2,9
59,MiniMax_h2,103,1,1
60,MiniMax_h1_h2,86,1,4
61,MiniMax_h1_h2,82,2,8
62,MiniMax_h2,69,1,5
63,MiniMax_h2,87,1,7
64,MiniMax_h1_h2,76,1,7
65,MiniMax_h2,55,4,12
66,MiniMax_h1_h2,88,2,5
67,MiniMax_h2,89,1,5
68,MiniMax_h2,101,1,7
69,MiniMax_h2,85,1,4
70,MiniMax_h2,89,1,1
71,MiniMax_h2,87,1,2
72,MiniMax_h1_h2,94,1,6
73,MiniMax_h2,79,3,9
74,MiniMax_h2,79,2,8
75,MiniMax_h2,95,1,1
76,MiniMax_h2,65,5,17
77,MiniMax_h1_h2,86,1,1
78,MiniMax_h1_h2,76,2,11
79,MiniMax_h2,75,1,5
80,MiniMax_h2,83,2,7
81,MiniMax_h1_h2,102,2,7
82,MiniMax_h1_h2,76,3,10
83,MiniMax_h1_h2,76,1,6
84,MiniMax_h1_h2,90,3,10
85,MiniMax_h1_h2,76,3,11
86,MiniMax_h1_h2,88,2,6
87,MiniMax_h1_h2,88,1,9
88,MiniMax_h1_h2,90,2,7
89,MiniMax_h1_h2,98,1,3
90,MiniMax_h1_h2,86,2,9
91,MiniMax_h1_h2,82,3,10
92,MiniMax_h1_h2,72,2,12
93,MiniMax_h2,68,2,13
94,MiniMax_h1_h2,84,1,5
95,MiniMax_h2,95,2,4
96,MiniMax_h2,95,3,6
97,MiniMax_h2,77,1,5
98,MiniMax_h1_h2,108,1,5
99,MiniMax_h1_h2,62,3,19
100,MiniMax_h1_h2,90,3,9
101,MiniMax_h1_h2,76,3,9
