match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MiniMax_h1,92,2,7
2,MiniMax_h1,71,4,15
3,MiniMax_h1,91,3,15
4,MiniMax_h1,89,2,11
5,MiniMax_h1,83,2,9
6,MCTSAI,102,1,1
7,MiniMax_h1,71,2,5
8,MCTSAI,92,2,7
9,MiniMax_h1,95,4,15
10,MiniMax_h1,95,2,4
11,MiniMax_h1,93,2,10
12,MiniMax_h1,89,2,11
13,MiniMax_h1,73,3,8
14,MiniMax_h1,77,3,13
15,MiniMax_h1,79,3,16
16,MiniMax_h1,83,5,26
17,MiniMax_h1,89,2,3
18,MiniMax_h1,99,4,13
19,MiniMax_h1,76,4,19
20,MiniMax_h1,93,2,6
21,MiniMax_h1,83,2,7
22,MiniMax_h1,91,1,7
23,MiniMax_h1,111,2,5
24,MiniMax_h1,67,4,12
25,MCTSAI,80,2,17
26,MiniMax_h1,93,3,12
27,MiniMax_h1,83,3,8
28,MCTSAI,74,3,20
29,MiniMax_h1,93,2,14
30,MiniMax_h1,81,4,14
31,MiniMax_h1,93,3,13
32,MCTSAI,100,2,4
33,MCTSAI,76,4,26
34,MCTSAI,94,2,4
35,MiniMax_h1,81,2,9
36,MCTSAI,90,1,3
37,MiniMax_h1,81,2,11
38,MiniMax_h1,89,2,6
39,MiniMax_h1,81,4,13
40,MCTSAI,92,3,6
41,MCTSAI,78,1,1
42,MCTSAI,96,1,1
43,MiniMax_h1,85,1,1
44,MiniMax_h1,91,2,5
45,MCTSAI,114,1,3
46,MiniMax_h1,85,2,11
47,MCTSAI,86,2,4
48,MiniMax_h1,93,1,3
49,MiniMax_h1,85,2,7
50,MiniMax_h1,89,2,7
51,MCTSAI,92,1,1
52,MCTSAI,85,1,3
53,MiniMax_h1,88,1,5
54,MCTSAI,101,1,1
55,MiniMax_h1,100,2,7
56,MiniMax_h1,84,2,17
57,MiniMax_h1,80,4,14
58,MiniMax_h1,76,4,17
59,MCTSAI,93,2,11
60,MCTSAI,97,1,3
61,MCTSAI,113,2,4
62,MCTSAI,103,2,4
63,MiniMax_h1,78,5,20
64,MCTSAI,81,1,5
65,MiniMax_h1,98,2,7
66,MCTSAI,105,2,4
67,MiniMax_h1,73,4,26
68,MiniMax_h1,98,3,13
69,MiniMax_h1,94,2,9
70,MiniMax_h1,82,2,7
71,MiniMax_h1,76,3,9
72,MiniMax_h1,76,4,14
73,MiniMax_h1,74,1,4
74,MiniMax_h1,88,1,5
75,MiniMax_h1,98,2,12
76,MiniMax_h1,82,2,8
77,MCTSAI,95,2,4
78,MiniMax_h1,84,5,23
79,MiniMax_h1,80,2,17
80,MiniMax_h1,80,3,12
81,MiniMax_h1,92,2,7
82,MiniMax_h1,86,3,6
83,MiniMax_h1,102,2,10
84,MiniMax_h1,108,2,10
85,MCTSAI,87,1,3
86,MCTSAI,87,2,4
87,MiniMax_h1,94,2,6
88,MiniMax_h1,94,3,17
89,MiniMax_h1,88,2,9
90,MiniMax_h1,102,2,4
91,MiniMax_h1,84,4,7
92,MCTSAI,99,2,4
93,MiniMax_h1,92,1,4
94,MiniMax_h1,78,4,16
95,MiniMax_h1,72,3,12
96,MiniMax_h1,78,3,10
97,MiniMax_h1,90,1,1
98,MiniMax_h1,90,2,9
99,MiniMax_h1,70,4,15
100,MiniMax_h1,86,4,12
101,MCTSAI,93,2,4
